inv_id,inv_nama, inv_awal 
0000133,ELBOW LAS SCH.20 2    , 3.00 
0000134,ELBOW TEMBAGA 1 1/2,
0000135,FLANK BUKA 1/2, 57.00 
0000136,FLANK BUKA 3/4, 70.00 
0000137,FLANK BUKA 1, 71.00 
0000138,FLANK BUKA 1 1/4, 25.00 
0000139,FLANK BUKA 1 1/2, 49.00 
0000140,FLANK BUKA 2, 17.00 
0000141,FLANK BUKA 2 1/2, 28.00 
0000142,FLANK BUKA 3, 39.00 
0000143,FLUG BS 1 1/4,
0000144,FLUG BS 1,
0000145,FLUG BS 3/4,
0000146,FLUG BS 1/2,
0000147,FLEXIBLE HOSE TOZEN 1/2 X 20, 2.00 
0000148,FLEXIBLE HOSE TOZEN 1/2 X 30, 9.00 
0000149,FLEXIBLE HOSE 1/2 X 40,
0000150,FLEXIBLE HOSE TOZEN 1/2 X 50, 25.00 
0000151,FLEXIBLE HOSE TOZEN  1/2 X 60, 11.00 
0000152,FLEXIBLE HOSE TOZEN  1/2 x 75, 49.00 
0000153,FLEXIBLE HOSE TOZEN  1/2 X 80, 54.00 
0000154,FLEXIBLE HOSE  TOZEN 1/2 X 100, 24.00 
0000155,FLEXIBLE HOSE 1/2 x 150, 6.00 
0000156,FLEXIBLE HOSE 1/2 x 200, 6.00 
0000157,FLEXIBLE HOSE TOZEN 3/4 x 30, 15.00 
0000158,FLEXIBLE HOSE TOZEN 3/4 X 40, 11.00 
0000159,FLEXIBLE HOSE TOZEN 3/4 X 50, 10.00 
0000160,FLEXIBLE HOSE TOZEN 3/4 X 60, 25.00 
0000161,FLEXIBLE HOSE TOZEN 3/4 x 80, 14.00 
0000162,FLEXIBLE HOSE TOZEN 3/4 x 100, 27.00 
0000163,FLEXIBLE HOSE 3/4 X 120, 9.00 
0000164,FLEXIBLE HOSE 3/4 X 150,
0000165,FLEXIBLE HOSE 1 X 20, 10.00 
0000166,FLEXIBLE HOSE TOZEN  1 x 100, 14.00 
0000167,FLEXIBLE HOSE 1 1/4 X 60, 10.00 
0000168,FLEXIBLE HOSE 1 X 25, 11.00 
0000169,FLEXIBLE HOSE 1/2 X 120, 39.00 
0000170,FLEXIBLE HOSE 3/4 X 130, 13.00 
0000171,FLEXIBLE HOSE 1/2 X 166, 24.00 
0000172,FLEXIBLE HOSE TOZEN 1/2 X 40, 11.00 
0000173,FLEXIBLE HOSE 1/2 X 100, 23.00 
0000174,FISHER S-6," 4,510.00 "
0000175,FLUG SS 1/4, 49.00 
0000176,FLUG SS 1/2, 16.00 
0000177,FLUG SS 3/4, 25.00 
0000178,FLUG SS 1, 35.00 
0000179,FLUG SS 1 1/4, 33.00 
0000180,FLUG SS  1 1/2, 50.00 
0000181,FLANK TUTUP 1/2, 24.00 
0000182,FLANK TUTUP 3/4, 30.00 
0000183,FLANK TUTUP 1, 53.00 
0000184,FLANK TUTUP 1 1/4, 22.00 
0000185,FLANK TUTUP 1 1/2, 35.00 
