inv_id,inv_nama, inv_awal 
0000492,REGULATOR COMAP 30KG / LP, 22.00 
0000493,REGULATOR FUJIKO 6KG RC-6 / LP,
0000494,REGULATOR FUJIKO RC-33 / LP, 2.00 
0000495,REGULATOR FUJIKO RD-33 / LP, 4.00 
0000496,REGULATOR FUJIKO LGSNG TBG R-280/RSA5 / LP, 59.00 
0000497,REGULATOR HWA YOUNG 7KG / LP,
0000498,REGULATOR KAN SNI 12KG / LP, 8.00 
0000499,REGULATOR ONE GAS 12KG / LP, 7.00 
0000500,REGULATOR REGO 20KG LV4403BB66 / LP,
0000501,REGULATOR REGO 40KG LV 5503B8 / LP, 28.00 
0000502,REGULATOR TEXVA KECIL W28 / LP, 21.00 
0000503,REGULATOR TEXVA BESAR / LP,
0000504,REGULATOR FISHER 35 KG 622 DFF LP , 5.00 
0000505,REGULATOR COMAP LP 40KG BP2402, 8.00 
0000506,REGULATOR REGO 17 KG LV5503C4 / LP, 1.00 
0000507,REGULATOR FUJIKO RC-7 / LP, 6.00 
0000508,REDUCER LAS SCH.40  3/4 X 1/4,
0000509,REDUCER LAS SCH.40  3/4 X 1/2, 29.00 
0000510,REDUCER LAS SCH.40 1 X 1/2, 54.00 
0000511,REDUCER LAS SCH.40  1 X 3/4, 114.00 
0000512,REDUCER LAS SCH.40  1 1/4 X 1/2, 32.00 
0000513,REDUCER LAS SCH.40  1 1/4 X 3/4, 46.00 
0000514,REDUCER LAS SCH.40  1 1/4  X 1, 109.00 
0000515,REDUCER LAS SCH.40  1 1/4 X 1 1/2, 46.00 
0000516,REDUCER LAS SCH.40  1 1/2 X 1/2, 90.00 
0000517,REDUCER LAS SCH.40  1 1/2 X 3/4, 97.00 
0000518,REDUCER LAS SCH.40  1 1/2 X 1, 113.00 
0000519,REDUCER LAS SCH.40  2 X 1/2, 96.00 
0000520,REDUCER LAS SCH.40  2 X 3/4, 89.00 
0000521,REDUCER LAS SCH.40  2 X 1, 93.00 
0000522,REDUCER LAS SCH.40  2 X 1 1/4, 41.00 
0000523,REDUCER LAS SCH.40  2 X 1 1/2, 72.00 
0000524,REDUCER LAS SCH.40  2 1/2 X 1, 68.00 
0000525,REDUCER LAS SCH.40  2 1/2 X 1 1/4, 65.00 
0000526,REDUCER LAS SCH.40  2 1/2 X 1 1/2, 28.00 
0000527,REDUCER LAS SCH.40  2 1/2 X 2, 40.00 
0000528,REDUCER LAS SCH.40  3 X 2, 25.00 
0000529,REDUCER LAS SCH.40  4 X 2,
0000530,REDUCER LAS SCH.20 2 1/2 X 1, 5.00 
0000531,REDUCER LAS SCH.20 2 1/2 X 1 1/4, 5.00 
0000532,REDUCER LAS SCH.20 2 1/2 X 1 1/2, 5.00 
0000533,REDUCER LAS SCH.20 2 1/2 X 2, 1.00 
0000534,REDUCER LAS SCH.20 2 X1/2, 21.00 
0000535,REDUCER LAS SCH.20 2 X 3/4, 26.00 
0000536,REDUCER LAS SCH.20 1 1/2 x 1 1/4, 95.00 
0000537,REDUCER LAS SCH.20 1 1/2 x 1, 14.00 
0000538,REDUCER LAS SCH.20 1 1/2 x 3/4, 48.00 
0000539,REDUCER LAS SCH.20 1 1/4 x 1, 47.00 
0000540,REDUCER LAS SCH.20 1 1/4 x 3/4, 54.00 
0000541,REDUCER LAS SCH.20 1 1/4 x 1/2, 42.00 
0000542,REDUCER LAS SCH.20 1 x 3/4, 93.00 
0000543,REDUCER LAS SCH.20 1 x 1/2, 22.00 
0000544,REDUCER LAS SCH.20 1/2 x 3/4, 40.00 
0000545,REDUCER SS 1/4 X 3/8, 29.00 
0000546,REDUCER SS 1/2 X 3/4, 37.00 
0000547,REDUCER SS 1/2 X 3/8, 24.00 
0000548,REDUCER SS 3/4 X 1/4, 50.00 
0000549,REDUCER SS 1 X 1/4, 47.00 
0000550,REDUCER SS 1 X 1/2, 29.00 
0000551,REDUCER SS 1 X 3/4, 157.00 
0000552,REDUCER SS 1 1/4 X 1/2, 50.00 
0000553,REDUCER SS 1 1/4 X 3/4, 80.00 
0000554,REDUCER SS 1 1 /4 X 1, 68.00 
0000555,REDUCER SS 1 1/2 X 3/4, 52.00 
0000556,REDUCER SS 1 1/2 X 1, 32.00 
0000557,REDUCER SS 2 X 3/4, 43.00 
0000558,REDUCER SS 2 X 1, 21.00 
0000559,REDUCER SS 2 X 1 1/2, 5.00 
0000560,REDUCER SS 2 1/2 X 1, 21.00 
0000561,RING VER 1/2," 7,320.00 "
0000562,RING VER 5/8," 2,512.00 "
0000563,SELANG ALUMUNIUM, 246.50 
0000564,SELANG BRIDGESTONE, 184.90 
0000565,SHOCK BS 1/4, 177.00 
0000566,SHOCK BS 1/2, 13.00 
0000567,SHOCK BS 3/4, 17.00 
0000568,SHOCK BS 1, 4.00 
0000569,SHOCK BS 1 1/4, 21.00 
0000570,SHOCK BS 1 1/2, 20.00 
0000571,SHOCK BS 2,
0000572,SHOCK CLIPSAL 1/2," 1,254.00 "
0000573,SHOCK CLIPSAL 1/2 ( PAK),
0000574,SCREW TP JF 6 X 1 1/2," 5,842.00 "
0000575,SEAL ORING KECIL 50KG, 27.00 
0000576,SEAL ORING BESAR 50 KG, 153.00 
0000577,SEAL O-RING 3/4, 213.00 
0000578,SEAL O-RING 1/2, 52.00 
0000579,SEAL O-RING 1, 248.00 
0000580,SEAL O-RING 1 1/4, 77.00 
0000581,SEAL O-RING 1 1/2, 102.00 
0000582,SEAL O-RING 2, 67.00 
0000583,SHOCK RIFENG 1620 X 1/2,
0000584,SHOCK RIFENG 1620 X 3/4, 10.00 
0000585,"SHOCK RIFENG UK.1""",
0000586,"SHOCK DRAT LUAR UK.1""",
0000587,SHOCK RIFENG 2025 X 1620 ( 1 X 3/4 ), 2.00 
0000588,SHOCK RIFENG 1620 ( 3/4 ), 9.00 
0000589,SHOCK RIFENG 1620 X 1216 ( 3/4 X 1/2 ), 10.00 
0000590,SAFETY RELIEF REGO, 6.00 
0000591,SAFETY RELIEF COMAP, 225.00 
0000592,SEAL TOPI FULL 50KG, 153.00 
0000593,SeaL TOPI HALF 50KG, 50.00 
0000594,SEAL REGULATOR LP, 971.00 
0000595,SEAL KECIL, 950.00 
0000596,SEAL 12 KG," 21,950.00 "
0000597,SILINOID ASCO 1/2, 10.00 
0000598,SILINOID ASCO 1, 17.00 
0000599,SILINOID ASCO 1 1/4, 10.00 
0000600,SILINOID ASCO 1 1/2, 21.00 
0000601,SILINOID ASCO 2, 13.00 
0000602,SILINOID UNI-D 1, 4.00 
0000603,SILINOID MADAS M-16, 2.00 
0000604,"SILINOID BURKET 1""", 3.00 
0000605,KAPUR BESI, 645.00 
0000606,KAP LAS, 6.00 
0000607,KEPALA BURNER,
0000608,KAWAT BENDING UK.20MM,
0000609,"HANGER KLEM 1 1/2""",
0000610,"HANGER KLEM 1""",
0000611,BOX GAS DETECTOR, 48.00 
0000612,BURNER OVEN HORIZONTAL,
0000613,BURNER OVEN VERTICAL,
0000614,BURNER OBOR,
0000615,PISTOL BUNSEN OBOR,
0000616,BESI HOLLO 4X4, 48.00 
0000617,BURNER OBOR+SPUYER,
0000618,FLUSHING NITROGEN,
0000619,SHOCK SS 1/4, 82.00 
0000620,SHOCK SS 1/2, 143.00 
0000621,SHOCK SS 3/4, 78.00 
0000622,SHOCK SS 1, 190.00 
0000623,SHOCK SS 1 1/4, 85.00 
0000624,SHOCK SS 1 1/2, 61.00 
0000625,SHOCK SS 2, 39.00 
0000626,SHOCK TEMBAGA 1 1/2, 13.00 
0000627,SEAL TAPE ONDA," 1,180.00 "
0000628,SEAL TAPE SAMBO, 24.00 
0000629,SARUNG TANGAN BIASA, 43.00 
0000630,SARUNG TANGAN LAS, 7.00 
0000631,SEAL UNION PUTIH 3/4,
0000632,SEAL UNION PUTIH 1,
0000633,SEAL UNION PUTIH 1/2,
0000634,SEAL UNION PUTIH 1 1/4,
0000635,SEAL UNION PUTIH 1 1/2,
0000636,SEAL UNION PUTIH 2,
0000637,SEAL UNION PUTIH 2 1/2,
0000638,SHOCK PVC 2, 50.00 
0000639,SHOCK PVC 1',
0000640,TEE BS 1/4, 10.00 
0000641,TEE BS 1/2, 35.00 
0000642,TEE BS 3/4, 36.00 
0000643,TEE BS 3/4 X 1/2, 15.00 
0000644,TEE BS 1, 48.00 
0000645,TEE BS 1 X 1/2, 11.00 
0000646,TEE BS 1 X 3/4, 79.00 
0000647,TEE BS 1 1/4, 10.00 
0000648,TEE BS 1 1/4 X 1/2, 79.00 
0000649,TEE BS 1 1/4 X 3/4, 85.00 
0000650,TEE BS 1 1/4 X 1, 29.00 
0000651,TEE BS 1 1/2 X 1/2, 66.00 
0000652,TEE BS 2 X 1/2, 9.00 
0000653,TAKE DOS KAKI 3, 661.00 
0000654,THINNER 1LTR, 17.00 
0000655,THINNER 5LTR, 1.00 
0000656,THINNER,
0000657,THINNER COBRA,
0000658,TEE KUNINGAN L16,
0000659,TEE KUNINGAN RIFENG T20 3/4, 4.00 
0000660,"TEE RIFENG UK.1""",
0000661,TEE LAS SCH.40  1/2, 94.00 
0000662,"TEE LAS SCH.40  3/4""", 152.00 
0000663,TEE LAS SCH.40  3/4 X 1/2, 132.00 
0000664,TEE LAS SCH.40  1, 198.00 
0000665,TEE LAS SCH.40  1 X 1/2, 137.00 
0000666,TEE LAS SCH.40  1 X 3/4, 116.00 
0000667,TEE LAS SCH.40  1 1/4, 83.00 
0000668,TEE LAS SCH.40  1 1/4 X 1/2, 69.00 
0000669,TEE LAS SCH.40  1 1/4 X 3/4, 62.00 
0000670,TEE LAS SCH.40  1 1/4 X 1, 66.00 
0000671,TEE LAS SCH.40  1 1/2, 201.00 
0000672,TEE LAS SCH.40  1 1/2 X 1/2, 134.00 
0000673,TEE LAS SCH.40  1 1/2 X 3/4, 117.00 
0000674,TEE LAS SCH.40  1 1/2 X 1, 125.00 
0000675,TEE LAS SCH.40 1 1/2 X 1 1/4, 65.00 
0000676,TEE LAS SCH.40  2, 63.00 
0000677,TEE LAS SCH.40  2 X 1/2, 70.00 
0000678,TEE LAS SCH.40  2 X 3/4, 54.00 
0000679,TEE LAS SCH.40  2 X 1, 56.00 
0000680,TEE LAS SCH.40  2 X 1 1/4, 57.00 
0000681,TEE LAS SCH.40  2 X 1 1/2,
0000682,TEE LAS SCH.40  2 1/2, 35.00 
0000683,TEE LAS SCH.40  2 1/2 X 1/2, 30.00 
0000684,TEE LAS SCH.40  2 1/2 X 1, 75.00 
0000685,TEE LAS SCH.40  2 1/2 X 2, 33.00 
0000686,TEE LAS SCH. 20 2 1/2 , 5.00 
0000687,TEE LAS SCH. 20 1 1/2, 78.00 
0000688,TEE LAS SCH. 20 1 1/4, 94.00 
0000689,TEE LAS SCH. 20 1 1/4 X 1, 64.00 
0000690,TEE LAS SCH. 20 1 1/4 X3/4, 29.00 
0000691,TEE LAS SCH. 20 1, 80.00 
0000692,TEE LAS SCH. 20 2 1/2 X 1/2, 10.00 
0000693,TEE LAS SCH. 20 2, 2.00 
0000694,TEE LAS SCH. 20 2 X 1, 5.00 
0000695,TEE LAS SCH. 20 2 X 3/4, 2.00 
0000696,TEE LAS SCH. 20 2 X 1/2, 20.00 
0000697,TEE LAS SCH. 20 1 1/2 X 1, 1.00 
0000698,TEE LAS SCH. 20 1 1/2 X 1 1/4, 24.00 
0000699,TEE LAS SCH. 20 1 1/2 X 3/4, 69.00 
0000700,TEE LAS SCH. 20 1 1/2 X 1/2, 76.00 
0000701,TEE LAS SCH. 20 1/2, 57.00 
0000702,TEE LAS SCH. 20 3/4 X 1/2, 22.00 
0000703,TEE LAS SCH. 20 3/4, 83.00 
0000704,TEE LAS SCH. 20 1 X 1/2, 28.00 
0000705,TEE LAS SCH. 20 1 X 3/4, 143.00 
0000706,TEE SS 1/4, 93.00 
0000707,TEE SS 1/2, 57.00 
0000708,TEE SS 1/2 X 1/4, 14.00 
0000709,TEE SS 1/2 X 3/4, 35.00 
0000710,TEE SS 3/4, 136.00 
0000711,TEE SS 1, 301.00 
0000712,TEE SS 1 X 1/4, 19.00 
0000713,TEE SS 1 X 1/2, 95.00 
0000714,TEE SS 1 X 3/4, 317.00 
0000715,TEE SS 1 1 /4, 88.00 
0000716,TEE SS 1 1/4 X 1/2, 48.00 
0000717,TEE SS 1 1/4 X 3/4, 57.00 
0000718,TEE SS 1 1/4 X 1, 51.00 
0000719,TEE SS 1 1/2, 69.00 
0000720,TEE SS 1 1 /2 X 1/2, 100.00 
0000721,TEE SS 1 1/2 X 3/4, 19.00 
0000722,TEE SS 1 1/2 X 1, 77.00 
0000723,TEE SS 2, 42.00 
0000724,TEE SS 2 X 1/2, 15.00 
0000725,TEE SS 2 X 1, 29.00 
0000726,TEE SS 2 1/2, 35.00 
0000727,Tee SS 1 X 3/8    , 2.00 
0000728,TEE TEMBAGA 1 1/2, 6.00 
0000729,TEE RIFENG T-16, 25.00 
0000730,TEE PVC 1 x 1/2', 13.00 
0000731,UNION BS 1/2, 37.00 
0000732,UNION BS 3/4, 31.00 
0000733,UNION BS 1, 14.00 
0000734,UNION BS 1 1/4, 17.00 
0000735,UNION BS 1 1/2, 42.00 
0000736,UNION BS 2 1/2, 2.00 
0000737,UBOLT 1/2, 898.00 
0000738,UBOLT 3/4, 928.00 
0000739,UBOLT 1, 546.00 
0000740,UBOLT 1 1/4, 648.00 
0000741,UBOLT 1 1/2, 668.00 
0000742,UBOLT 2, 475.00 
0000743,UBOLT 2 1/2, 217.00 
0000744,UBOLT 3, 284.00 
0000745,UNION SS 1/4,
0000746,UNION SS 1/2, 122.00 
0000747,UNION SS 3/4, 190.00 
0000748,UNION SS 1, 147.00 
0000749,UNION SS 1 1/4, 56.00 
0000750,UNION SS 1 1/2, 93.00 
0000751,UNION SS 2, 121.00 
0000752,UNION SS 2 1/2, 15.00 
0000753,"FEMALE UNION RIFENG 1""",
0000754,VERLOP RING KUNINGAN 1/2 X 1/4, 6.00 
0000755,VERLOP RING KUNINGAN 1 X 3/4, 13.00 
0000756,VERLOP RING SS 1/4 X 3/8, 31.00 
0000757,VERLOP RING SS 1/2 X 1/4, 166.00 
0000758,VERLOP RING SS 1/2 X 3/8, 121.00 
0000759,VERLOP RING SS 3/4 X 1/4, 157.00 
0000760,VERLOP RING SS 3/4 X 1/2, 74.00 
0000761,VERLOP RING SS 1 X 1/4, 72.00 
0000762,VERLOP RING SS 1 X 1/2, 53.00 
0000763,VERLOP RING SS 1 X 3/4, 35.00 
0000764,VERLOP RING SS 1 1/4 X 1/2, 60.00 
0000765,VERLOP RING SS 1 1/4 X 3/4, 42.00 
0000766,VERLOP RING SS 1 1/4 X 1, 12.00 
0000767,VERLOP RING SS 1 1/2 X 1/2, 35.00 
0000768,VERLOP RING SS 1 1/2 X 3/4, 28.00 
0000769,VERLOP RING SS 2 X 1/2, 42.00 
0000770,VERLOP RING SS 2 X 3/4, 40.00 
0000771,VERLOP RING SS 2 X 1, 33.00 
0000772,VERLOP RING SS 2 X 1 1/4,
0000773,VERLOP RING SS 2 X 1 1/2, 36.00 
0000774,WRAPING POLIKEN, 660.00 
